fanyi,title
你难道看不见那黄河之水从天上奔腾而来，波涛翻滚直奔东海，从不再往回流。你难道看不见那年迈的父母，对着明镜悲叹自己的白发，早晨还是满头的黑发，怎么才到傍晚就变成了雪白一片。（所以）人生得意之时就应当纵情欢乐，不要让这金杯无酒空对明月。每个人的出生都一定有自己的价值和意义，黄金千两（就算）一挥而尽，它也还是能够再得来。我们烹羊宰牛姑且作乐，（今天）一次性痛快地饮三百杯也不为多！岑夫子，丹丘生啊！快喝酒吧！不要停下来。让我来为你们高歌一曲，请你们为我倾耳细听：整天吃山珍海味的豪华生活有何珍贵，只希望醉生梦死而不愿清醒。自古以来圣贤无不是冷落寂寞的，只有那会喝酒的人才能够留传美名。陈王当年宴设平乐观的事迹你可知道，斗酒万千也豪饮，让宾主尽情欢乐。主人呀，你为何说钱不多？只管买酒来让我们一起痛饮。那些什么名贵的五花良马，昂贵的千金狐裘，把你的小儿喊出来，都让他拿去换美酒来吧，让我们一起来消除这无穷无尽的万古长愁！,将进酒
天色黄昏，一群乌鸦落在枯藤缠绕的老树上，发出凄厉的哀鸣。小桥下流水哗哗作响，小桥边庄户人家炊烟袅袅。古道上一匹瘦马，顶着西风艰难地前行。夕阳渐渐地失去了光泽，从西边落下。凄寒的夜色里，只有孤独的旅人漂泊在遥远的地方。,天净沙·秋思
明亮的月光洒在床前的窗户纸上，好像地上泛起了一层霜。我禁不住抬起头来，看那天窗外空中的一轮明月，不由得低头沉思，想起远方的家乡。,静夜思
长安沦陷，国家破碎，只有山河依旧；春天来了，人烟稀少的长安城里草木茂密。感伤国事，不禁涕泪四溅，鸟鸣惊心，徒增离愁别恨。连绵的战火已经延续了半年多，家书难得，一封抵得上万两黄金。愁绪缠绕，搔头思考，白发越搔越短，简直要不能插簪了。,春望
水上、陆地上各种草本木本的花，值得喜爱的非常多。晋代的唯独喜爱菊花。从李氏唐朝以来，世人大多喜爱牡丹。我唯独喜爱莲花从积存的淤泥中长出却不被污染，经过清水的洗涤却不显得妖艳。（它的茎）中间贯通外形挺直，不牵牵连连也不枝枝节节，香气传播更加清香，笔直洁净地竖立在水中。（人们）可以远远地观赏（莲），而不可轻易地玩弄它啊。我认为菊花，是花中的隐士；牡丹，是花中的富贵者；莲花，是花中（品德高尚）的君子。啊！（对于）菊花的喜爱，陶渊明以后就很少听到了。（对于）莲花的喜爱，像我一样的还有什么人呢？（对于）牡丹的喜爱，人数当然就很多了!,爱莲说
从小丘向西走一百二十多步，隔着竹林，可以听到水声，就像人身上佩带的佩环相碰击发出的声音，（我）心里感到高兴。砍倒竹子，开辟出一条道路（走过去），沿路走下去看见一个小潭，潭水格外清凉。小潭以整块石头为底，靠近岸边，石底有些部分翻卷过来露出水面。成为了水中高地、小岛、不平的岩石和石岩等各种不同的形状。青翠的树木，翠绿的藤蔓，遮掩缠绕，摇动下垂，参差不齐，随风飘拂。潭中的鱼大约有一百来条，都好像在空中游动，什么依靠都没有。阳光直照（到水底），又,小石潭记
环绕滁州的都是山。那西南的几座山峰，树林和山谷尤其优美。一眼望去树木茂盛，又幽深又秀丽的，那是琅琊山。沿着山路走六七里，渐渐听到潺潺的水声，看到流水从两座山峰之间倾泻而出的，那是酿泉。泉水沿着山峰折绕，沿着山路拐弯，有一座亭子像飞鸟展翅似地，飞架在泉上，那就是醉翁亭。建造这亭子的是谁呢？是山上的和尚智仙。给它取名的又是谁呢？太守用自己的别号（醉翁）来命名。太守和他的宾客们来这儿饮酒，只喝一点儿就醉了；而且年纪又最大，所以自号“醉翁”。醉翁的情趣不在于喝酒，而在欣赏山水的美景。欣赏山水美景的乐趣，领会在心里，寄托在酒上。,醉翁亭记
唐明皇偏好美色，当上皇帝后多年来一直在寻找美女，却都是一无所获。杨家有个女儿刚刚长大，十分娇艳，养在深闺中，外人不知她美丽绝伦。天生丽质、倾国倾城让她很难埋没世间，果然没多久便成为了唐明皇身边的一个妃嫔。她回眸一笑时，千姿百态、娇媚横生；六宫妃嫔，一个个都黯然失色。春寒料峭时，皇上赐她到华清池沐浴，温润的泉水洗涤着凝脂一般的肌肤。侍女搀扶她，如出水芙蓉软弱娉婷，由此开始得到皇帝恩宠。鬓发如云颜脸似花，头戴着金步摇。温暖的芙蓉帐里，与皇上共度春宵。情深只恨春宵短，一觉睡到太阳高高升起。君王深恋儿女情温柔乡，从此再也不早朝。承受君欢侍君饮，忙得没有闲暇。春日陪皇上一起出游，晚上夜夜侍寝。后宫中妃嫔不下三千人，却只有她独享皇帝的恩宠。金屋中梳妆打扮，夜夜撒娇不离君王；玉楼上酒酣宴罢，醉意更添几许风韵。兄弟姐妹都因她列土封侯，杨家门楣光耀令人羡慕。于是使得天下的父母都改变了心意，变成重女轻男。骊山上华清宫内玉宇琼楼高耸入云，清风过处仙乐飘向四面八方。轻歌曼舞多合拍，管弦旋律尽传神，君王终日观看，却百看不厌。渔阳叛乱的战鼓震耳欲聋，宫中停奏霓裳羽衣曲。九重宫殿霎时尘土飞扬，君王带着大批臣工美眷向西南逃亡。车队走走停停，西出长安才百余里。六军停滞不前，要求赐死。君王无可奈何，只得在马嵬坡下缢杀杨玉环。贵妃头上的饰品，抛撒满地无人收拾。翠翘金雀玉搔头，珍贵头饰一根根。君王欲救不能，掩面而泣，回头看贵妃惨死的场景，血泪止不住地流。秋风萧索扫落叶，黄土尘埃已消遁，回环曲折穿栈道，车队踏上了剑阁古道。峨眉山下行人稀少，旌旗无色，日月无光。蜀地山清水秀，引得君王相思情。行宫里望月满目凄然，雨夜听曲声声带悲。叛乱平息后，君王重返长安，路过马嵬坡，睹物思人，徘徊不前。萋萋马嵬坡下，荒凉黄冢中，佳人容颜再不见，唯有坟茔躺山间。君臣相顾，泪湿衣衫，东望京都心伤悲，信马由缰归朝堂。回来一看，池苑依旧，太液池边芙蓉仍在，未央宫中垂柳未改。芙蓉开得像玉环的脸，柳叶儿好似她的眉，此情此景如何不心生悲戚?春风吹开桃李花，物是人非不胜悲；秋雨滴落梧桐叶，场面寂寞更惨凄。兴庆宫和甘露殿，处处萧条，秋草丛生。宫内落叶满台阶，长久不见有人扫。戏子头已雪白，宫女红颜尽褪。晚上宫殿中流萤飞舞，孤灯油尽君王仍难以入睡。细数迟迟钟鼓声，愈数愈觉夜漫长。遥望耿耿星河天，直到东方吐曙光。鸳鸯瓦上霜花重生，冰冷的翡翠被里谁与君王同眠?阴阳相隔已一年，为何你从未在我梦里来过?临邛道士正客居长安，据说他能以法术招来贵妃魂魄。君王思念贵妃的情意令他感动。他接受皇命，不敢怠慢，殷勤地寻找，八面御风。驾驭云气入空中，横来直去如闪电，升天入地遍寻天堂地府，都毫无结果。忽然听说海上有一座被白云围绕的仙山。玲珑剔透楼台阁，五彩祥云承托起。天仙神女数之不尽，个个风姿绰约。当中有一人字太真，肌肤如雪貌似花，好像就是君王要找的杨贵妃。道士来到金阙西边，叩响玉石雕做的院门轻声呼唤，让小玉叫侍女双成去通报。太真听说君王的使者到了，从帐中惊醒。穿上衣服推开枕头出了睡帐。逐次地打开屏风放下珠帘。半梳着云鬓刚刚睡醒，来不及梳妆就走下坛来，还歪带着花冠。轻柔的仙风吹拂着衣袖微微飘动，就像霓裳羽衣的舞姿，袅袅婷婷。寂寞忧愁颜，面上泪水长流，犹如春天带雨的梨花。含情凝视天子使，托他深深谢君王。马嵬坡上长别后，音讯颜容两渺茫。昭阳殿里的姻缘早已隔断，蓬莱宫中的孤寂，时间还很漫长。回头俯视人间，长安已隐，只剩尘雾。只有用当年的信物表达我的深情，钿盒金钗你带去给君王做纪念。金钗留下一股，钿盒留下一半，金钗劈开黄金，钿盒分了宝钿。但愿我们相爱的心，就像黄金宝钿一样忠贞坚硬，天上人间总有机会再见。临别殷勤托方士，寄语君王表情思，语中誓言只有君王与我知。当年七月七日长生殿中，夜半无人，我们共起山盟海誓。在天愿为比翼双飞鸟，在地愿为并生连理枝。即使是天长地久，也总会有尽头，但这生死遗恨，却永远没有尽期。,长恨歌
我愤怒得头发竖了起来，帽子被顶飞了。独自登高凭栏远眺，骤急的风雨刚刚停歇。抬头远望天空，禁不住仰天长啸，一片报国之心充满心怀。三十多年来虽已建立一些功名，但如同尘土微不足道，南北转战八千里，经过多少风云人生。好男儿，要抓紧时间为国建功立业，不要空空将青春消磨，等年老时徒自悲切。靖康之变的耻辱，至今仍然没有被雪洗。作为国家臣子的愤恨，何时才能泯灭！我要驾着战车向贺兰山进攻，连贺兰山也要踏为平地。我满怀壮志，打仗饿了就吃敌人的肉，谈笑渴了就喝敌人的鲜血。待我重新收复旧日山河，再带着捷报向国家报告胜利的消息！,满江红·写怀
江南清明时节细雨纷纷飘洒，路上羁旅行人个个落魄断魂。借问当地之人何处买酒浇愁？牧童笑而不答遥指杏花山村。,清明
